elig,lwage,vet,yob
0,5.5513,1,53
0,5.4822001,0,51
0,5.901,1,51
0,5.2377,0,53
0,5.0966001,0,50
1,5.3070998,1,50
0,5.5134001,0,51
1,5.2389002,0,51
1,5.8892002,0,53
1,6.0246,1,50
1,5.0991998,1,50
1,5.7346001,0,53
0,5.4579,1,51
0,5.7838001,0,51
0,4.6897001,0,53
0,5.4074998,0,52
1,5.7550998,1,53
0,5.3966999,0,52
1,5.4183002,0,53
1,5.3544002,0,52
0,5.2982998,0,53
0,5.4414001,0,50
1,5.5215001,1,52
0,4.7483001,0,51
0,5.4414001,0,50
1,5.2279,1,52
1,6.0655999,1,50
0,5.1971998,1,53
1,5.2494998,1,52
0,5.6578999,1,51
1,5.8751998,0,53
0,6.1276002,0,50
0,5.7599001,1,50
0,5.9045,0,52
0,5.8469,0,51
0,5.6307001,1,50
1,5.3544002,1,52
1,5.2789001,0,52
1,5.7291002,0,50
0,5.5956001,0,51
0,4.7413001,0,51
1,5.8243999,1,50
0,5.4414001,1,50
0,5.3544002,0,52
1,5.3079,0,52
0,5.7414999,0,52
0,5.4496999,0,53
0,5.3213,0,50
1,5.7897,0,50
0,5.6974001,0,52
1,6.2146001,0,50
0,5.4096999,0,52
1,1.7918,0,52
1,4.7104998,0,51
0,5.6974001,0,51
0,5.6974001,0,53
0,4.4605999,0,52
1,5.4822001,0,51
0,4.0551,0,50
0,4.6051998,0,51
0,5.9720001,0,52
0,5.4161,0,53
1,6.1346002,0,50
1,5.2112999,0,51
0,5.7445998,1,50
0,5.7897,0,50
0,5.9387002,0,51
0,5.6444001,0,51
0,5.7599001,0,53
1,5.4408002,0,52
1,4.6459999,1,51
0,5.2161002,0,53
1,5.8186998,0,53
0,6.2522998,0,51
0,5.9439998,0,52
1,5.9320002,0,50
0,5.3878999,0,51
0,5.4414001,0,53
0,5.7897,0,52
0,5.3544002,0,53
0,5.7897,1,50
0,4.9972,1,50
0,6.0475998,1,51
0,4.9175,0,51
1,5.4344001,1,53
1,5.4524999,0,52
0,5.901,1,51
0,5.3544002,0,50
0,5.3843002,1,51
0,3.9990001,0,52
0,5.7683001,0,53
0,5.6645999,0,51
0,5.3544002,0,52
0,.65390003,0,50
0,5.8130002,0,50
0,6.0009999,0,52
0,5.4770002,1,50
1,4.0455999,1,52
0,5.5215001,0,51
1,5.9521999,0,50
0,5.0752001,0,52
0,5.3079,0,53
1,6.0475998,1,51
1,4.2716999,0,51
0,5.4414001,0,53
0,6.0475998,0,53
1,5.5963001,1,50
0,5.5956001,0,50
0,4.8544002,0,52
0,5.8469,0,51
0,3.7894001,0,50
1,4.6826,0,52
1,3.1781001,1,52
0,4.8652,1,53
0,6.0009999,0,51
1,5.8962002,0,50
0,5.3544002,0,53
0,5.3989,0,52
1,5.6974001,0,50
0,5.7291002,0,52
1,5.7069998,0,51
0,6.0475998,0,52
0,5.6974001,0,52
1,5.6974001,0,52
1,5.4036999,1,50
0,5.4675999,0,52
0,5.2591,1,50
0,5.6645999,0,53
0,5.4414001,0,52
0,3.4753001,0,51
1,5.1155,0,53
0,4.6792998,1,52
0,6.1738,0,50
1,5.7609,0,52
0,5.684,0,52
0,4.8674998,0,50
0,5.3079,0,53
0,4.6051998,1,52
0,5.3235998,1,52
1,5.7291002,0,53
0,5.3723998,0,50
0,5.2182999,0,52
0,5.6528001,0,53
0,5.6444001,0,51
0,5.9183002,1,50
0,4.8674998,0,51
0,5.4805999,1,53
1,5.3544002,0,51
0,5.1757002,0,52
0,5.2785001,0,52
0,5.6097999,0,53
1,5.0359998,1,52
0,5.204,0,51
0,5.3544002,0,53
0,5.7990999,1,51
1,5.1357999,1,53
1,5.3544002,0,53
0,5.8860998,0,53
1,5.3174,0,52
0,2.9565001,0,52
0,5.7291002,0,53
1,5.2982998,0,50
0,5.4524999,0,51
0,2.6951001,0,53
1,5.6946998,0,52
0,5.901,0,52
0,5.8743,0,50
0,6.0009999,0,51
0,5.4902,0,50
0,4.5658998,0,51
0,4.7483001,1,52
1,4.5658998,0,51
0,5.6645999,0,51
0,5.2785001,0,53
0,6.2449002,0,51
1,5.0966001,1,51
0,6.1753998,1,50
1,5.5984001,0,51
1,5.3544002,0,50
0,6.092,1,50
0,5.6645999,0,50
0,6.1346002,0,51
0,5.7897,0,51
1,5.5215001,0,51
0,5.9109001,0,52
1,5.3738999,1,52
0,5.7038002,1,51
0,5.8469,0,50
1,5.7599001,1,52
0,5.5956001,0,51
1,4.5658998,0,50
0,5.3913999,0,52
0,3.832,0,52
0,5.6578999,0,52
1,5.6645999,0,51
0,6.0009999,0,50
0,5.6440001,0,52
0,5.8186998,0,52
0,5.4414001,0,50
1,5.1536999,0,50
0,5.4414001,1,50
1,5.2591,0,50
0,5.4414001,0,53
1,5.9113998,0,53
1,5.8737001,0,53
0,4.7483001,0,52
0,5.5606999,1,50
0,5.2591,1,51
1,5.3339,0,52
0,5.7897,1,50
0,6.0833001,0,50
1,5.6307001,1,52
1,5.1732001,0,51
1,5.0359998,0,53
0,5.2982998,0,51
0,5.3589001,1,51
